TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,MONTH_NAME,TIME_OF_DAY
Break and Enter Commercial,2025,11,25,0,0,10XX PACIFIC ST,West End,490246.7971,5458367.4099,November,Evening/Night
Break and Enter Commercial,2025,11,29,18,53,10XX PACIFIC ST,West End,490246.7971,5458367.4099,November,Evening/Night
Break and Enter Commercial,2025,1,2,0,0,10XX PACIFIC ST,West End,490258.8902,5458368.3026,January,Evening/Night
Break and Enter Commercial,2025,6,10,19,27,10XX PACIFIC ST,West End,490298.1327,5458316.5676,June,Evening/Night
Break and Enter Commercial,2025,1,13,3,43,10XX ROBSON ST,West End,491036.3006,5458993.5239,January,Evening/Night
Break and Enter Commercial,2025,3,27,13,0,10XX SE MARINE DR,Sunset,493873.1291,5450918.867,March,Afternoon
Break and Enter Commercial,2025,3,27,14,19,10XX SE MARINE DR,Sunset,493873.1291,5450918.867,March,Afternoon
Break and Enter Commercial,2025,10,16,23,23,10XX SE MARINE DR,Sunset,493873.1291,5450918.867,October,Evening/Night
Break and Enter Commercial,2025,11,28,2,55,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295,November,Evening/Night
Break and Enter Commercial,2025,8,13,18,29,10XX STATION ST,Strathcona,492788.6724,5458074.8982,August,Evening/Night
Break and Enter Commercial,2025,3,16,3,7,10XX STATION ST,Strathcona,492837.9336,5458068.253,March,Evening/Night
Break and Enter Commercial,2025,11,18,0,37,10XX STATION ST,Strathcona,492837.9336,5458068.253,November,Evening/Night
Break and Enter Commercial,2025,4,24,2,23,10XX SW MARINE DR,Marpole,490426.4215,5450190.3986,April,Evening/Night
Break and Enter Commercial,2025,8,20,8,0,10XX SW MARINE DR,Marpole,490456.6943,5450204.966,August,Morning
Break and Enter Commercial,2025,10,26,10,56,10XX W 42ND AVE,Oakridge,490639.4061,5453373.0886,October,Morning
Break and Enter Commercial,2025,11,11,6,27,10XX W 7TH AVE,Fairview,490670.7998,5456948.1058,November,Morning
Break and Enter Commercial,2025,2,10,10,34,10XX W BROADWAY AVE,Fairview,490670.584,5456744.2403,February,Morning
Break and Enter Commercial,2025,9,30,5,48,10XX W BROADWAY AVE,Fairview,490670.584,5456744.2403,September,Morning
Break and Enter Commercial,2025,2,17,6,58,10XX W GEORGIA ST,Downtown,491115.4503,5459163.477,February,Morning
Break and Enter Commercial,2025,2,7,14,30,10XX W GEORGIA ST,Downtown,491115.752,5459163.1779,February,Afternoon
Break and Enter Commercial,2025,11,9,21,0,10XX W HASTINGS ST,Downtown,491449.2475,5459411.3564,November,Evening/Night
Break and Enter Commercial,2025,5,28,1,21,11XX ALBERNI ST,West End,490918.5751,5459261.0065,May,Evening/Night
Break and Enter Commercial,2025,12,16,18,50,11XX ALBERNI ST,West End,490951.5114,5459241.8337,December,Evening/Night
Break and Enter Commercial,2025,3,11,13,34,11XX BROUGHTON ST,West End,490149.4839,5459059.9105,March,Afternoon
Break and Enter Commercial,2025,4,8,2,35,11XX BURRARD ST,Downtown,490669.3771,5458547.9857,April,Evening/Night
Break and Enter Commercial,2025,6,10,4,30,11XX BURRARD ST,Downtown,490715.2484,5458594.519,June,Morning
Break and Enter Commercial,2025,3,29,4,15,11XX CARDERO ST,West End,489942.1379,5459205.4781,March,Morning
Break and Enter Commercial,2025,11,10,3,0,11XX DAVIE ST,West End,490336.1285,5458763.2644,November,Evening/Night
Break and Enter Commercial,2025,9,20,8,24,11XX DAVIE ST,West End,490360.0777,5458725.7671,September,Morning
Break and Enter Commercial,2025,1,28,5,45,11XX DENMAN ST,West End,489739.2686,5459446.8359,January,Morning
Break and Enter Commercial,2025,12,1,6,17,11XX DENMAN ST,West End,489739.2686,5459446.8359,December,Morning
Break and Enter Commercial,2025,10,24,4,0,11XX E BROADWAY AVE,Mount Pleasant,494129.2655,5456626.8944,October,Morning
Break and Enter Commercial,2025,8,17,18,15,11XX E GEORGIA ST,Strathcona,494113.7408,5458385.2242,August,Evening/Night
Break and Enter Commercial,2025,6,2,17,10,11XX E HASTINGS ST,Strathcona,494148.911,5458699.4552,June,Afternoon
Break and Enter Commercial,2025,4,20,0,0,11XX GILFORD ST,West End,489669.3754,5459617.6932,April,Evening/Night
Break and Enter Commercial,2025,8,6,10,45,11XX GRANVILLE ST,Downtown,490849.3205,5458308.7845,August,Morning
Break and Enter Commercial,2025,2,13,4,9,11XX GRANVILLE ST,Downtown,490853.6809,5458300.2021,February,Morning
Break and Enter Commercial,2025,7,20,9,25,11XX GRANVILLE ST,Downtown,490861.4419,5458320.9702,July,Morning
Break and Enter Commercial,2025,5,19,4,39,11XX GRANVILLE ST,Downtown,490864.1779,5458323.7208,May,Morning
Break and Enter Commercial,2025,12,28,5,5,11XX GRANVILLE ST,Downtown,490879.1765,5458338.7989,December,Morning
Break and Enter Commercial,2025,3,25,14,17,11XX GRANVILLE ST,Downtown,490889.7633,5458336.4759,March,Afternoon
Break and Enter Commercial,2025,11,13,15,0,11XX GRANVILLE ST,Downtown,490903.5654,5458363.3156,November,Afternoon
Break and Enter Commercial,2025,10,25,9,30,16XX W 7TH AVE,Fairview,489699.7752,5456963.754,October,Morning
Break and Enter Commercial,2025,5,16,8,21,16XX W 8TH AVE,Fairview,489591.3092,5456873.7603,May,Morning
Break and Enter Commercial,2025,8,18,17,0,16XX W BROADWAY AVE,Fairview,489627.8011,5456778.9925,August,Afternoon
Break and Enter Commercial,2025,1,9,13,18,16XX W BROADWAY AVE,Fairview,489690.8107,5456767.7932,January,Afternoon
Break and Enter Commercial,2025,5,14,21,5,16XX W GEORGIA ST,West End,490393.3729,5459874.8689,May,Evening/Night
Break and Enter Commercial,2025,9,18,9,0,16XX WHYTE AVE,Kitsilano,489671.4776,5458129.1024,September,Morning
Break and Enter Commercial,2025,4,27,2,33,17XX COLUMBIA ST,Mount Pleasant,492044.2567,5457407.3561,April,Evening/Night
Break and Enter Commercial,2025,5,23,8,37,17XX COMOX ST,West End,489904.7764,5459485.4095,May,Morning
Break and Enter Commercial,2025,11,28,23,0,17XX COOK ST,Mount Pleasant,491985.4188,5457397.3966,November,Evening/Night
Break and Enter Commercial,2025,1,29,4,50,17XX DAVIE ST,West End,489718.6811,5459362.2899,January,Morning
Break and Enter Commercial,2025,1,4,17,0,17XX DAVIE ST,West End,489773.7611,5459320.3881,January,Afternoon
Break and Enter Commercial,2025,9,3,16,30,17XX DRUMMOND DR,West Point Grey,483886.123,5457692.9503,September,Afternoon
Break and Enter Commercial,2025,10,4,22,57,17XX E 13TH AVE,Kensington-Cedar Cottage,494945.7556,5456219.9869,October,Evening/Night
Break and Enter Commercial,2025,6,25,4,27,17XX E HASTINGS ST,Grandview-Woodland,494987.4909,5458727.8426,June,Morning
Break and Enter Commercial,2025,7,14,14,55,17XX KINGSWAY AVE,Kensington-Cedar Cottage,494974.3191,5454908.2948,July,Afternoon
Break and Enter Commercial,2025,1,25,5,30,17XX LORNE ST,Mount Pleasant,492797.0984,5457381.0363,January,Morning
Break and Enter Commercial,2025,8,12,16,0,17XX LORNE ST,Mount Pleasant,492797.0984,5457381.0363,August,Afternoon
Break and Enter Commercial,2025,11,5,18,15,17XX LORNE ST,Mount Pleasant,492797.0984,5457381.0363,November,Evening/Night
Break and Enter Commercial,2025,8,23,22,41,17XX MANITOBA ST,Mount Pleasant,492247.3322,5457445.3997,August,Evening/Night
Break and Enter Commercial,2025,8,27,5,15,17XX MANITOBA ST,Mount Pleasant,492247.3322,5457445.3997,August,Morning
Break and Enter Commercial,2025,3,1,15,0,17XX MAPLE ST,Kitsilano,489059.5093,5457536.149,March,Afternoon
Break and Enter Commercial,2025,1,27,21,59,17XX NELSON ST,West End,489995.195,5459563.5897,January,Evening/Night
Break and Enter Commercial,2025,4,16,3,0,17XX NELSON ST,West End,490025.6976,5459533.4886,April,Evening/Night
Break and Enter Commercial,2025,7,1,3,20,17XX PENDRELL ST,West End,489773.9224,5459472.5414,July,Evening/Night
Break and Enter Commercial,2025,11,15,16,54,17XX PENDRELL ST,West End,489807.4114,5459439.8106,November,Afternoon
Break and Enter Commercial,2025,2,21,11,20,17XX PENDRELL ST,West End,489849.2774,5459398.8982,February,Morning
Break and Enter Commercial,2025,3,3,12,15,17XX PENDRELL ST,West End,489849.2774,5459398.8982,March,Afternoon
Break and Enter Commercial,2025,3,7,3,50,17XX PENDRELL ST,West End,489849.2774,5459398.8982,March,Evening/Night
Break and Enter Commercial,2025,9,20,6,5,17XX PENDRELL ST,West End,489849.2774,5459398.8982,September,Morning
